resourceId,oper_inst_nm,charging_station,charger_id,charger_type,fclt_se_l,fclt_se_s,region,sgg,address,utztn_psblty_tm,utztn_user_lmt,charging_capacity,con_pvsn,remark,lat,lon,charger_count
87,서울시,신창동 공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"용산구 ",서울특별시 용산구 원효로35길 53 신창동 공영주차장,24시간 이용가능,,급속(100kW단독),,,37.535308023,126.955203714,1
88,서울시,양재솔라스테이션,01,DC차데모+DC콤보,주차시설,일반주차장,서울특별시,"서초구 ","서울특별시 서초구 바우뫼로12길 73 (양재동, 양재솔라스테이션) 지상1층 진입로 오른쪽 5M 지점",24시간 이용가능,,급속(50kW동시),,,37.468241842999994,127.03454108200002,12
89,서울시,양천구민체육센터,01,DC콤보,공공시설,지자체시설,서울특별시,"양천구 ",서울특별시 양천구 목동동로 87 주차장 안쪽,24시간 이용가능,,급속(100kW동시),,,37.516395322,126.864270616,2
90,서울시,양천구청,01,DC차데모+AC3상+DC콤보,공공시설,관공서,서울특별시,"양천구 ","서울특별시 양천구 목동동로 105 (신정동, 양천구청) 지상1층 진입로 우측 10M 지점",24시간 이용가능,,급속(50kW단독),,,37.517128121,126.866683903,1
91,서울시,어린이대공원 구의문 주차장 복합충전소,01,DC콤보,주차시설,공영주차장,서울특별시,"광진구 ","서울특별시 광진구 능동로 216 (능동, 어린이대공원 구의문공영주차장) 지상1층 진입로 정면 10M지점구의문 주차장",24시간 이용가능,,급속(200kW동시),,,37.548873426,127.079003328,6
92,서울시,어린이대공원 후문주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"광진구 ",서울특별시 광진구 능동로 216 (서울특별시 광진구 천호대로124길 11 전기차충전소)후문주차장,"주중 08:00~19:00, 주말 09:00~18:00",,급속(50kW단독),,,37.548873426,127.079003328,1
93,서울시,여의도 KBS홀 앞 전기차 충전소,01,DC콤보,주차시설,공영주차장,서울특별시,"영등포구 ",서울특별시 영등포구 여의공원로 13 kBS홀 앞 전기차 충전소kBS홀 앞 전기차 충전소,24시간 이용가능,,급속(50kW단독),,,37.52632335,126.915679317,3
94,서울시,여의서로 노상공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"영등포구 ",서울특별시 영등포구 의사당대로 1 국회1어린이집 인근(식물원 앞)국회제1어린이집 인근,24시간 이용가능,,급속(50kW단독),,,37.531407661,126.912035919,2
95,서울시,연희동 거주자우선주차장,01,DC콤보,주차시설,일반주차장,서울특별시,"서대문구 ",서울특별시 서대문구 연희동 736 거주자우선주차장 32-10 구획거주자우선주차장 32-10 구획,24시간 이용가능,,급속(50kW단독),,,37.576357762674824,126.92901920647327,1
96,서울시,연희제2공영주차장,01,DC콤보,공공시설,지자체시설,서울특별시,"서대문구 ",서울특별시 서대문구 연희로15길 113 연희제2공영주차장,24시간 이용가능,,급속(100kW단독),,,37.5718496,126.927620811,2
97,서울시,영동대로85길 노상공영주차장(대명중학교 뒤),01,DC콤보,주차시설,공영주차장,서울특별시,"강남구 ",서울특별시 강남구 테헤란로88길 17 파리바게뜨 앞,24시간 이용가능,,급속(50kW단독),,,37.506546334,127.060288541,1
98,서울시,영동대로85길 노상공영주차장(요금정산소 옆),01,DC콤보,주차시설,공영주차장,서울특별시,"강남구 ",서울특별시 강남구 삼성로86길 23 요금정산소 옆,24시간 이용가능,,급속(50kW단독),,,37.506186075,127.059231925,1
99,서울시,오목교역 노상공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"양천구 ",서울특별시 양천구 목동서로 159-3 LG유플러스 인근,24시간 이용가능,,급속(50kW단독),,,37.527804043,126.875162077,1
100,서울시,올림픽기념국민생활관,01,AC완속,공공시설,지자체시설,서울특별시,"종로구 ",서울특별시 종로구 성균관로 91 올림픽기념국민생활관,24시간 이용가능,,완속(7kW단독),,,37.59017559,126.998393614,4
101,서울시,월계동 거주자주차장,01,DC콤보,주차시설,일반주차장,서울특별시,"노원구 ",서울특별시 노원구 광운로 20 2-16 구획주차구획 2-16,24시간 이용가능,,급속(50kW단독),,,37.619345795,127.060864519,1
102,서울시,으뜸공원 공영주차장 전기차 충전소,01,AC완속,주차시설,공영주차장,서울특별시,"강북구 ",서울특별시 강북구 솔샘로67길 33 으뜸공원 공영주차장으뜸공원 공영주차장,24시간 이용가능,,완속(7kW단독),,,37.618850228,127.027605994,1
103,서울시,은평평화공원 지하공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"은평구 ",서울특별시 은평구 서오릉로 지하47 은평평화공원 지하공영주차장,24시간 이용가능,,급속(100kW단독),,,37.61697076,126.906390618,1
104,서울시,을지로 노상공영주차장(신한은행 앞),01,DC콤보,주차시설,공영주차장,서울특별시,"중구 ",서울특별시 중구 을지로 213 신한은행 앞,24시간 이용가능,,급속(50kW단독),,,37.567108356,127.001806597,1
105,서울시,을지로 노상공영주차장(하나은행 앞),01,DC콤보,주차시설,공영주차장,서울특별시,"중구 ",서울특별시 중구 을지로 167 하나은행 앞,24시간 이용가능,,급속(50kW단독),,,37.566830401,126.996618171,1
